file,species
78b1bf91a.png,Sugar beet
3f64c2c1b.png,Common wheat
fea3da57c.png,Sugar beet
558aa7deb.png,Black-grass
6edc76e7c.png,Fat Hen
46c14fde2.png,Black-grass
780bd2a2c.png,Sugar beet
5b63dcc21.png,Common Chickweed
b145ba9d4.png,Scentless Mayweed
9d79a1f0c.png,Small-flowered Cranesbill
fbf88b6be.png,Charlock
a890ac088.png,Common Chickweed
a9d2eab61.png,Loose Silky-bent
7f9e9565d.png,Scentless Mayweed
d41d87796.png,Scentless Mayweed
0021e90e4.png,Small-flowered Cranesbill
4b032563b.png,Common Chickweed
165681fd9.png,Shepherds Purse
0086a6340.png,Common Chickweed
eec1079a1.png,Charlock
7b52585da.png,Loose Silky-bent
e84464f5a.png,Shepherds Purse
f593c9cf0.png,Sugar beet
39d569be4.png,Loose Silky-bent
1d48b7564.png,Loose Silky-bent
fb022edf9.png,Common Chickweed
e15472085.png,Common Chickweed
f4021df6c.png,Fat Hen
bb1d1bfd3.png,Small-flowered Cranesbill
79dafec17.png,Loose Silky-bent
b944a49ca.png,Black-grass
cae684f8f.png,Charlock
8311740de.png,Fat Hen
b828443ff.png,Maize
d2f422ccb.png,Common Chickweed
71334c634.png,Maize
bffc08672.png,Cleavers
0c45ace27.png,Common Chickweed
e73e308be.png,Fat Hen
ef3e232ad.png,Common Chickweed
35cf9fa01.png,Common Chickweed
32c86784b.png,Common Chickweed
d488a4fe1.png,Common wheat
5bc6595f6.png,Maize
5bdcfa329.png,Loose Silky-bent
08d591441.png,Sugar beet
2a5064f19.png,Common wheat
1dc7c45df.png,Black-grass
e98e5d1d5.png,Black-grass
24a058589.png,Small-flowered Cranesbill
52a87abe5.png,Fat Hen
9a3f20121.png,Loose Silky-bent
39858776a.png,Cleavers
b6f3d8b5d.png,Scentless Mayweed
6908fb540.png,Sugar beet
8a4d3a1b1.png,Loose Silky-bent
cec5bf198.png,Cleavers
48ef6a2ff.png,Common wheat
c7ae30f3a.png,Scentless Mayweed
9b4800b42.png,Cleavers
6da892be6.png,Small-flowered Cranesbill
4e69d100a.png,Small-flowered Cranesbill
c35efa095.png,Scentless Mayweed
3dd52bd2a.png,Small-flowered Cranesbill
d102e1a15.png,Cleavers
20f983a71.png,Fat Hen
65e97117e.png,Loose Silky-bent
c50335991.png,Fat Hen
1541bdb2e.png,Maize
1694a70e4.png,Scentless Mayweed
acdb75e00.png,Loose Silky-bent
0ebf8f2f4.png,Maize
377283a21.png,Maize
521b27a17.png,Loose Silky-bent
590f5aea6.png,Cleavers
8e6ec1ca6.png,Small-flowered Cranesbill
728eabae1.png,Small-flowered Cranesbill
897e5a8de.png,Cleavers
bb20fce02.png,Scentless Mayweed
29ce426a1.png,Common Chickweed
4823c3ffa.png,Scentless Mayweed
8cfd98117.png,Scentless Mayweed
16357b436.png,Loose Silky-bent
c10db7ae2.png,Maize
258b1183c.png,Cleavers
550a8b7e6.png,Small-flowered Cranesbill
54b3afd58.png,Cleavers
f33e9d918.png,Cleavers
26e7ae885.png,Fat Hen
8b9144917.png,Small-flowered Cranesbill
a3b375b34.png,Loose Silky-bent
80e299ae9.png,Shepherds Purse
78c5fba1d.png,Sugar beet
a5db42f7d.png,Maize
efe19dc32.png,Charlock
b47691c08.png,Scentless Mayweed
444473900.png,Fat Hen
5315c2dca.png,Black-grass
edfdb4aeb.png,Scentless Mayweed
f3fcfff1b.png,Cleavers
599c82eea.png,Scentless Mayweed
36ed4f215.png,Common Chickweed
fda39e16f.png,Loose Silky-bent
5e6a237f2.png,Sugar beet
0ae6668fa.png,Loose Silky-bent
043449b0b.png,Sugar beet
ef65533d5.png,Black-grass
cfb18d262.png,Scentless Mayweed
a169b71e7.png,Small-flowered Cranesbill
86676d627.png,Fat Hen
c7eb96871.png,Common wheat
48d97c645.png,Small-flowered Cranesbill
e0ec5b6a1.png,Sugar beet
39c8fde99.png,Loose Silky-bent
e1809cef2.png,Scentless Mayweed
74068643d.png,Loose Silky-bent
8455169fe.png,Common wheat
0d31e6602.png,Small-flowered Cranesbill
abf8b0772.png,Scentless Mayweed
b4f7c9214.png,Black-grass
963544aa0.png,Black-grass
456d507c0.png,Shepherds Purse
754b1adf8.png,Small-flowered Cranesbill
fadc6adbc.png,Charlock
64fe8beb9.png,Scentless Mayweed
1459e96a0.png,Fat Hen
ac75d3326.png,Loose Silky-bent
3fbd0fc6a.png,Common Chickweed
ae90f2827.png,Common Chickweed
8d6991365.png,Black-grass
659412b1a.png,Loose Silky-bent
c85ef220d.png,Common Chickweed
03566743d.png,Fat Hen
df7cb5f87.png,Common Chickweed
